ran_lats,ran_lngs,City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
-5.393102493340919,-68.10968540258644,Jutai,BR,-4.4008685,-68.52471489999999,92.48,92.48,20,58,4.05
-34.196776093592476,-39.34948117383229,Laguna,BR,-28.4748354,-48.7837539,73.08,73.08,76,91,2.93
13.838421817563443,68.0625794225372,Kavaratti,IN,10.5593204,72.63581340000002,83.57,83.57,0,100,3.15
-6.806300247318376,21.719610888293914,Tshikapa,CD,-6.4237489,20.7956878,71.69,71.69,80,96,2.15
-51.34701905814752,76.96042403835162,Mahebourg,MU,-20.4059505,57.7034222,77,77,75,83,5.82
-67.9713504784854,91.25403350878207,Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
42.70512658799771,-23.909147508738272,Praia Da Vitoria,PT,38.7339162,-27.0646976,68,68,75,94,16.58
-63.30430577756587,-82.93589536387353,Punta Arenas,CL,-53.1638329,-70.9170683,41.32,41.32,36,99,36.04
40.08209715805535,114.92080308991558,Xuanhua,CN,40.608793,115.099494,17.69,17.69,0,39,4.94
-42.640048146445075,170.27731521547923,Hokitika,NZ,-42.7173686,170.9665427,53.92,53.92,32,100,3.38
20.050809508161635,32.93631862849486,Marawi,SD,8.0106213,124.297718,78.44,78.44,0,36,7.63
36.41788049020211,126.33726576147592,Seoul,KR,37.566535,126.9779692,23.38,26.6,1,85,4.72
46.64089731514363,-69.1241315445882,Notre-Dame-Du-Lac,CA,47.6134613,-68.8002286,,,,,
43.27482884817243,28.77221300887399,Sabla,BG,37.565713,-122.328818,,,,,
9.792645056568077,136.7261436242722,Airai,PW,7.396611799999999,134.5690225,,,,,
84.71484390272505,-106.60241523191746,Yellowknife,CA,62.4539717,-114.3717887,-7.61,-7.61,75,76,10.29
83.2885545926309,45.941007077741915,Belushya Guba,RU,71.54555599999999,52.32027799999999,,,,,
48.01524283975718,167.4256078893157,Nikolskoye,RU,55.1981604,166.0015368,,,,,
-35.430026566473614,-15.723715198157151,Jamestown,SH,37.2082678,-76.77408969999999,68.05,68.05,64,100,15.79
62.92591158744736,-158.34901161879725,Bethel,US,41.3712283,-73.41396209999999,47.19,53.6,90,61,9.17
-60.04672816810346,-148.6890405068886,Mataura,PF,-46.1934288,168.8660155,,,,,
-43.357317192336446,38.01043745176071,East London,ZA,-33.0291582,27.8545867,60.8,60.8,0,72,4.7
-54.231881468562605,152.22675319355182,Hobart,AU,41.5322592,-87.2550353,59,59,0,77,6.93
24.22420788888529,-0.8514177209251841,Taoudenni,ML,22.6764132,-3.9789143,71.24,71.24,0,13,8.41
18.554448314480112,-102.63882251696113,Aguililla,MX,18.7371188,-102.7853522,81.64,81.64,0,55,1.7
-81.05092987427514,-11.773641434906466,Cape Town,ZA,-33.9248685,18.4240553,60.8,60.8,20,87,10.29
