City Name,Country,Lat,Lng,temp,max_temp,clouds,humidity,wind_speed
Thompson,CA,33.6454798,-117.6413112,10.4,10.4,90,66,17.22
Taolanaro,MG,-25.0225309,46.9853688,,,,,
Bluff,NZ,-29.9218618,31.0048384,50.63,50.63,0,100,9.98
Deputatskiy,RU,69.30260299999999,139.9583829,-12.38,-12.38,64,74,2.93
Port Elizabeth,ZA,-33.7139247,25.5207358,59,59,0,82,3.36
Cabo San Lucas,MX,22.8905327,-109.9167371,91.47,93.2,5,21,4.7
Portland,AU,45.5230622,-122.6764815,60.89,60.89,0,99,6.51
Nizhneyansk,RU,71.450058,136.1122279,,,,,
Caravelas,BR,-17.6793494,-39.6105142,77.72,77.72,0,100,11.65
Hilo,US,19.7070942,-155.0884869,73.4,73.4,1,69,4.61
Palabuhanratu,ID,-6.9852341,106.5475399,,,,,
Port Elizabeth,ZA,-33.7139247,25.5207358,59,59,0,82,3.36
Westport,IE,41.1414717,-73.3579049,42.8,42.8,75,100,3.36
Kodiak,US,57.79000000000001,-152.4072221,30.2,30.2,1,74,6.93
Castro,CL,34.4985047,-102.3463875,51.35,51.35,92,100,8.97
Jamestown,SH,37.2082678,-76.77408969999999,68.05,68.05,64,100,15.79
Hermanus,ZA,-34.4092004,19.2504436,63.23,63.23,0,59,3.71
Tiksi,RU,71.6374819,128.8644717,9.23,9.23,64,84,7.74
Cidreira,BR,-30.1768543,-50.2089307,75.02,75.02,88,79,10.2
Illoqqortoormiut,GL,70.48556909999999,-21.9628757,,,,,
Vaini,TO,-21.1935,-175.1751534,78.8,78.8,75,94,2.24
Khonuu,RU,66.455612,143.2225799,,,,,
Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
Heilbron,ZA,-27.2819782,27.9834738,60.26,60.26,24,49,7.18
Rikitea,PF,-23.119901,-134.9702654,73,73,48,100,18.59
Illoqqortoormiut,GL,70.48556909999999,-21.9628757,,,,,
Sentyabrskiy,RU,60.493056,72.19638909999999,,,,,
Flinders,AU,-38.474,145.022,53.6,53.6,48,100,4.7
Ribeira Grande,PT,37.8210369,-25.5148137,68,68,75,94,4.7
Albany,AU,42.6525793,-73.7562317,60.71,60.71,68,91,4.16
Cherskiy,RU,68.742677,161.3507839,13.01,13.01,92,88,5.39
Nizhneyansk,RU,71.450058,136.1122279,,,,,
Busselton,AU,-33.6554927,115.3500188,61.12,61.12,76,100,10.87
Talnakh,RU,69.5,88.39999999999999,-16.25,-16.25,36,95,3.15
Avarua,CK,-21.2129007,-159.7823059,78.8,78.8,40,78,11.41
Ribeira Grande,PT,37.8210369,-25.5148137,68,68,75,94,4.7
Puerto Ayora,EC,-0.7432918,-90.3156893,78.8,78.8,20,50,16.11
Khatanga,RU,71.964027,102.4406129,-6.53,-6.53,24,60,11.32
Kapaa,US,22.0881391,-159.3379818,74.5,77,1,78,4.7
New Norfolk,AU,-42.7828332,147.0593848,59,59,0,77,6.93
Tuatapere,NZ,-46.1357909,167.6892231,46.27,46.27,80,100,4.61
New Norfolk,AU,-42.7828332,147.0593848,59,59,0,77,6.93
